node1,node2,weight,label,PA,LP_w,PA_w,L3_w,L3,LP,SP,SP_w
457904,2383397,0.0,0,24,0.0,92.0,0.0,0.0,0,5.0,1.7499999999999998
976939,2769846,0.0,0,27,0.0,559.0,0.0,0.0,0,5.0,1.05
414200,2374660,0.0,0,12,0.0,165.0,0.0,0.0,0,7.0,1.4
1757346,2829692,0.0,0,9,0.0,84.0,0.0,0.0,0,5.0,1.7999999999999998
218253,2831647,0.0,0,18,0.0,234.0,0.0,0.0,0,5.0,1.05
66982,2802490,5.0,1,45,0.0,885.0,0.0,0.0,0,1.0,0.2
1349857,2163044,0.0,0,18,0.0,390.0,0.0,0.0,0,5.0,1.0
12479,2437573,5.0,1,280,125.0,4752.0,0.23569807024484582,0.008447319942701181,1,1.0,0.2
124190,2534927,0.0,0,45,0.0,644.0,0.0,0.0,0,inf,inf
71037,2368134,0.0,0,12,0.0,260.0,0.0,0.0,0,9.0,1.9499999999999997
182480,2164569,0.0,0,90,0.0,1833.0,0.0,0.0,0,5.0,1.0
1644630,2326856,0.0,0,21,0.0,330.0,0.0,0.0,0,5.0,1.0
1635190,2794529,0.0,0,12,0.0,240.0,0.0,0.0,0,5.0,1.05
5606,2303606,5.0,1,100,100.0,2304.0,0.5088020923938863,0.023762422826087874,1,1.0,0.2
58003,2297816,0.0,0,120,20.0,1972.0,0.03447660995198126,0.007799182688479128,1,3.0,1.0
229199,2277656,0.0,0,42,36.0,837.0,0.01767882053201082,0.002198359756188691,1,3.0,0.9166666666666665
17394,2164806,0.0,0,126,0.0,1540.0,0.0,0.0,0,5.0,1.0
90912,2365261,0.0,0,1062,3675.0,17550.0,1.9053972660506795,0.10183971152545215,43,3.0,0.6000000000000001
970,2179132,5.0,1,6105,17987.0,107068.0,37.729957630503364,2.070392385322729,209,1.0,0.2
13324,2451364,4.0,1,29025,1162.0,550816.0,2.49271103985061,0.15250371509128763,18,1.0,0.25
180214,2242283,0.0,0,402,0.0,7380.0,0.0,0.0,0,5.0,1.1
1208,2188596,4.0,1,3020,0.0,63612.0,0.0,0.0,0,1.0,0.25
11662,2421311,4.0,1,864,300.0,18774.0,0.18434090928278005,0.00712147281823298,3,1.0,0.25
1577,2198778,5.0,1,429,1220.0,8924.0,5.47751818204269,0.2965071017162837,15,1.0,0.2
375716,2612396,0.0,0,15,0.0,210.0,0.0,0.0,0,5.0,1.0
39347,2691345,5.0,1,66,0.0,1515.0,0.0,0.0,0,1.0,0.2
5326,2832160,0.0,0,66,0.0,1352.0,0.0,0.0,0,7.0,1.45
600005,2274358,0.0,0,60,0.0,680.0,0.0,0.0,0,7.0,1.5999999999999999
1777753,3166229,0.0,0,9,0.0,168.0,0.0,0.0,0,7.0,1.45
1050343,2569822,0.0,0,15,0.0,299.0,0.0,0.0,0,5.0,1.0944444444444443
18027,2518967,3.0,1,2016,137.0,31464.0,1.5072573419603819,0.11515779637646716,3,1.0,0.3333333333333333
1747,2202708,4.0,1,444,0.0,7392.0,0.0,0.0,0,1.0,0.25
24849,2606035,5.0,1,108,0.0,2166.0,0.0,0.0,0,1.0,0.2
899846,2178085,0.0,0,258,0.0,4625.0,0.0,0.0,0,5.0,1.0
1793234,2683456,0.0,0,27,0.0,345.0,0.0,0.0,0,5.0,1.1333333333333333
6740,2282834,0.0,0,91,0.0,1395.0,0.0,0.0,0,5.0,1.05
4802,2669076,0.0,0,21,0.0,490.0,0.0,0.0,0,7.0,1.4
5216,2295676,4.0,1,3713,2195.0,62800.0,12.404598370288431,0.6404277802254299,23,1.0,0.25
93536,2744537,0.0,0,32,0.0,684.0,0.0,0.0,0,5.0,1.0
18612,2525942,5.0,1,693,0.0,14094.0,0.0,0.0,0,1.0,0.2
1124668,2392275,0.0,0,9,0.0,126.0,0.0,0.0,0,5.0,1.0
7690,2345940,3.0,1,3380,950.0,43908.0,0.6228063095229821,0.03344837554235531,11,1.0,0.3333333333333333
551681,2213802,0.0,0,57,0.0,1320.0,0.0,0.0,0,5.0,1.0
348575,2256067,0.0,0,60,0.0,1460.0,0.0,0.0,0,5.0,1.0
1098,2182957,4.0,1,135,0.0,2379.0,0.0,0.0,0,1.0,0.25
7520,2341638,2.0,1,84,0.0,1058.0,0.0,0.0,0,1.0,0.5
42096,2704583,5.0,1,2110,0.0,33876.0,0.0,0.0,0,1.0,0.2
1618567,2301607,0.0,0,45,0.0,798.0,0.0,0.0,0,5.0,1.0
94022,2876665,5.0,1,9,0.0,143.0,0.0,0.0,0,1.0,0.2
55945,2252060,0.0,0,56,0.0,1064.0,0.0,0.0,0,5.0,1.0
1664593,2494856,0.0,0,18,0.0,195.0,0.0,0.0,0,7.0,1.4
1866530,2342046,0.0,0,85,0.0,1558.0,0.0,0.0,0,5.0,1.0
56316,2766463,3.0,1,217,20.0,2574.0,0.07197038883712548,0.014462408628372747,1,1.0,0.3333333333333333
7691,2346020,5.0,1,604,0.0,13091.0,0.0,0.0,0,1.0,0.2
7358,2338500,4.0,1,174,0.0,3192.0,0.0,0.0,0,1.0,0.25
1905,2207568,4.0,1,1626,4856.0,28198.0,12.909076282285051,0.6008603284845264,52,1.0,0.25
13251,2449637,3.0,1,6300,431.0,93568.0,1.8869437145886194,0.10844250391642657,8,1.0,0.3333333333333333
298949,2936500,0.0,0,60,0.0,1305.0,0.0,0.0,0,9.0,1.8499999999999999
2163,2893973,0.0,0,72,0.0,1380.0,0.0,0.0,0,7.0,1.6833333333333331
191227,2225798,0.0,0,336,0.0,5240.0,0.0,0.0,0,5.0,1.2333333333333332
1759968,3035523,0.0,0,18,0.0,351.0,0.0,0.0,0,7.0,1.5833333333333333
1096,2182911,5.0,1,250,0.0,6250.0,0.0,0.0,0,1.0,0.2
2275,2218883,2.0,1,555,1088.0,7498.0,2.3586911414201377,0.2394769875829823,29,1.0,0.5
61667,2475491,0.0,0,952,0.0,20195.0,0.0,0.0,0,5.0,1.0
28131,3169052,0.0,0,12,0.0,162.0,0.0,0.0,0,9.0,1.9
482949,2636078,0.0,0,12,0.0,260.0,0.0,0.0,0,5.0,1.05
1901162,2469575,0.0,0,9,0.0,195.0,0.0,0.0,0,7.0,1.4
12005,2428330,5.0,1,176,0.0,2725.0,0.0,0.0,0,1.0,0.2
7074,2762617,0.0,0,111,0.0,2400.0,0.0,0.0,0,5.0,1.0
105566,2327891,0.0,0,28,0.0,620.0,0.0,0.0,0,5.0,1.05
279942,2237299,0.0,0,15,112.0,234.0,0.020857509148702387,0.0015848757751931867,2,3.0,0.7
78083,2834890,2.0,1,16,50.0,144.0,2.581988897471611,0.19245008972987526,1,1.0,0.5
195211,2285523,0.0,0,16,0.0,306.0,0.0,0.0,0,5.0,1.05
4113,2272758,1.0,1,180,0.0,2520.0,0.0,0.0,0,1.0,1.0
1179766,2335982,0.0,0,12,0.0,247.0,0.0,0.0,0,7.0,1.4
440965,2421131,0.0,0,77,0.0,1155.0,0.0,0.0,0,5.0,1.2333333333333332
2339,2220297,5.0,1,668,0.0,14080.0,0.0,0.0,0,1.0,0.2
78492,2476207,0.0,0,25,0.0,437.0,0.0,0.0,0,7.0,1.4
231,2153653,5.0,1,28,0.0,440.0,0.0,0.0,0,1.0,0.2
57058,2816518,0.0,0,15,0.0,260.0,0.0,0.0,0,5.0,1.0
15690,2484670,5.0,1,380,0.0,6888.0,0.0,0.0,0,1.0,0.2
3244,2244731,3.0,1,196,0.0,2604.0,0.0,0.0,0,1.0,0.3333333333333333
12098,2431555,2.0,1,68,0.0,663.0,0.0,0.0,0,1.0,0.5
