,node1,node2,weight,label,PA,LP_w,PA_w,L3_w,L3,LP,SP,SP_w
0,101498,2244585,0.0,0,225,0.0,4715.0,0.0,0.0,0,5.0,1.0
1,2898,2236635,4.0,1,22204,360.0,448256.0,0.3435012347075695,0.02064396934291545,5,1.0,0.25
2,1208,2188529,5.0,1,4530,425.0,95418.0,4.669735525460858,0.18283303609008297,4,1.0,0.2
3,23612,2593744,4.0,1,128,0.0,2128.0,0.0,0.0,0,1.0,0.25
4,249797,2227428,0.0,0,24,0.0,330.0,0.0,0.0,0,5.0,1.05
5,16806,2500526,5.0,1,55,0.0,882.0,0.0,0.0,0,1.0,0.2
6,11670,2207615,0.0,0,864,125.0,15675.0,0.23229466152876452,0.008928571428571428,1,3.0,0.6000000000000001
7,13811,2458913,5.0,1,1336,0.0,21896.0,0.0,0.0,0,1.0,0.2
8,196497,2686339,0.0,0,28,0.0,480.0,0.0,0.0,0,7.0,1.45
9,57686,2929411,0.0,0,9,0.0,154.0,0.0,0.0,0,7.0,1.4
10,12226,2433107,4.0,1,312,252.0,5184.0,3.485839849104427,0.2855386270556235,5,1.0,0.25
11,1942358,2602538,0.0,0,9,0.0,182.0,0.0,0.0,0,5.0,1.1333333333333333
12,831,2174256,4.0,1,3770,980.0,72380.0,8.321387340082715,0.3317795008138918,10,1.0,0.25
13,13237,3106191,0.0,0,48,0.0,1140.0,0.0,0.0,0,inf,inf
14,893,2176668,5.0,1,1140,1552.0,18340.0,18.168704561439252,0.845272336427065,19,1.0,0.2
15,92215,2872466,4.0,1,327,0.0,6110.0,0.0,0.0,0,1.0,0.25
16,16,2146523,5.0,1,3280,2026.0,50274.0,11.148902772267498,0.5494592710298679,22,1.0,0.2
17,27422,2621756,4.0,1,1581,604.0,26652.0,6.241438965143528,0.41200340295162924,10,1.0,0.25
18,13011,2445243,4.0,1,651,0.0,11360.0,0.0,0.0,0,1.0,0.25
19,279715,2358450,0.0,0,9,0.0,210.0,0.0,0.0,0,5.0,1.0
20,998745,2486205,0.0,0,15,0.0,208.0,0.0,0.0,0,5.0,1.4
21,592089,2230900,0.0,0,9,0.0,168.0,0.0,0.0,0,5.0,1.5333333333333332
22,15749,2485541,2.0,1,100,0.0,945.0,0.0,0.0,0,1.0,0.5
23,27055,2280893,0.0,0,39,0.0,910.0,0.0,0.0,0,5.0,1.0
24,15153,2477251,5.0,1,148,171.0,2460.0,1.4261297421239716,0.109891675859764,3,1.0,0.2
25,2530,2227133,3.0,1,55,230.0,861.0,0.9101062020381546,0.05147130987336146,3,1.0,0.3333333333333333
26,25976,2612290,4.0,1,216,0.0,3612.0,0.0,0.0,0,1.0,0.25
27,427706,2307065,0.0,0,60,0.0,1125.0,0.0,0.0,0,5.0,1.1333333333333333
28,1717,2201851,5.0,1,6954,2800.0,133334.0,12.868857922992905,0.6049451993092418,29,1.0,0.2
29,39963,2694074,5.0,1,35,0.0,513.0,0.0,0.0,0,1.0,0.2
30,11981,2428046,3.0,1,486,72.0,5778.0,0.22372278520511008,0.0390945107782743,3,1.0,0.3333333333333333
31,77868,3102899,0.0,0,72,0.0,1260.0,0.0,0.0,0,inf,inf
32,1391,2192621,5.0,1,248,0.0,4192.0,0.0,0.0,0,1.0,0.2
33,59895,2267633,0.0,0,368,0.0,3861.0,0.0,0.0,0,5.0,1.05
34,98109,2882881,0.0,0,15,0.0,315.0,0.0,0.0,0,7.0,1.4
35,613428,2751987,0.0,0,12,0.0,247.0,0.0,0.0,0,7.0,1.4
36,3596,2255063,2.0,1,13202,1019.0,155005.0,2.7116700072560915,0.18938886266916544,17,1.0,0.5
37,367979,2590446,0.0,0,33,0.0,371.0,0.0,0.0,0,5.0,1.4
38,10631,2397599,5.0,1,104,0.0,1989.0,0.0,0.0,0,1.0,0.2
39,41110,2157622,0.0,0,15,0.0,209.0,0.0,0.0,0,9.0,1.9333333333333331
40,213,2153043,5.0,1,2847,148.0,50402.0,0.08539768725482698,0.005131830943831106,2,1.0,0.2
41,2818,2234909,5.0,1,234,100.0,4796.0,0.12110940527472357,0.005813167553459632,1,1.0,0.2
42,34888,2667017,5.0,1,141,0.0,2758.0,0.0,0.0,0,1.0,0.2
43,1864805,3111832,0.0,0,28,0.0,612.0,0.0,0.0,0,inf,inf
44,2050490,2801802,0.0,0,20,0.0,391.0,0.0,0.0,0,7.0,1.45
45,2657,2231010,3.0,1,4220,347.0,61056.0,0.4781460104405274,0.02958290954222389,6,1.0,0.3333333333333333
46,1980353,2284508,0.0,0,32,0.0,680.0,0.0,0.0,0,7.0,1.45
47,460663,2657732,0.0,0,12,0.0,91.0,0.0,0.0,0,9.0,2.5999999999999996
48,1606702,2471819,0.0,0,120,0.0,1980.0,0.0,0.0,0,5.0,1.4
49,2049263,2324921,0.0,0,25,0.0,460.0,0.0,0.0,0,5.0,1.05
50,32891,2655393,2.0,1,939,1673.0,8688.0,18.655643111140144,1.3381325798870496,28,1.0,0.5
51,480591,2306781,0.0,0,200,64.0,3234.0,0.024845720220327598,0.0016689003155917748,1,3.0,0.75
52,1526,2196905,5.0,1,490,240.0,10176.0,0.5576276728392102,0.027499370817353985,3,1.0,0.2
53,1109079,2250798,0.0,0,28,0.0,306.0,0.0,0.0,0,5.0,1.0
54,30256,2284632,0.0,0,27,0.0,450.0,0.0,0.0,0,5.0,1.05
55,606934,2295562,0.0,0,174,80.0,3225.0,1.20838201181185,0.06900655593423542,1,3.0,0.7
56,1235,2189144,5.0,1,182,305.0,3480.0,1.2146412021881545,0.06118981162244323,4,1.0,0.2
57,183822,2358158,0.0,0,15,0.0,200.0,0.0,0.0,0,5.0,1.4
58,57127,2259065,0.0,0,42,0.0,480.0,0.0,0.0,0,5.0,1.05
59,18920,2530445,4.0,1,2445,0.0,41477.0,0.0,0.0,0,1.0,0.25
60,379492,2541938,0.0,0,84,0.0,1314.0,0.0,0.0,0,5.0,1.0
61,5078,2328845,0.0,0,48,0.0,1000.0,0.0,0.0,0,5.0,1.05
62,176502,2225467,0.0,0,12,0.0,300.0,0.0,0.0,0,5.0,1.0
63,727,2170706,5.0,1,35,0.0,735.0,0.0,0.0,0,1.0,0.2
64,266224,2525090,0.0,0,12,0.0,300.0,0.0,0.0,0,7.0,1.5333333333333332
65,3262,2245341,4.0,1,3424,22557.0,63891.0,29.235052976964056,1.453363877560063,210,1.0,0.25
66,3656,2374301,0.0,0,186,0.0,2560.0,0.0,0.0,0,5.0,1.1333333333333333
67,1194052,2186068,0.0,0,144,0.0,2299.0,0.0,0.0,0,5.0,1.7999999999999998
68,311052,2832750,0.0,0,16,0.0,324.0,0.0,0.0,0,5.0,1.2333333333333334
69,3813,2261934,2.0,1,161,0.0,1729.0,0.0,0.0,0,1.0,0.5
70,59951,2206626,0.0,0,63,0.0,1120.0,0.0,0.0,0,5.0,1.05
71,369682,2460328,0.0,0,9,0.0,156.0,0.0,0.0,0,5.0,1.1333333333333333
72,62958,2706285,0.0,0,12,0.0,285.0,0.0,0.0,0,7.0,1.45
73,17371,2510041,5.0,1,531,1795.0,10455.0,1.4612934415515635,0.07134167492508259,18,1.0,0.2
74,9448,2380559,5.0,1,90,0.0,1900.0,0.0,0.0,0,1.0,0.2
75,627511,3016703,0.0,0,12,0.0,56.0,0.0,0.0,0,5.0,1.3
76,22009,2574481,4.0,1,87,313.0,1220.0,5.9856187129029275,0.6665736347976274,10,1.0,0.25
77,1709559,2201559,0.0,0,93,0.0,1664.0,0.0,0.0,0,5.0,1.0
78,17336,2509823,3.0,1,24,0.0,322.0,0.0,0.0,0,1.0,0.3333333333333333
79,13912,2461130,2.0,1,57,45.0,730.0,1.3860924831758192,0.11180339887498948,1,1.0,0.5
80,15958,2384744,0.0,0,104,0.0,2183.0,0.0,0.0,0,7.0,1.7999999999999998
81,249227,2212749,0.0,0,15,0.0,72.0,0.0,0.0,0,5.0,1.7999999999999998
82,221690,2916142,0.0,0,9,0.0,225.0,0.0,0.0,0,inf,inf
83,2769,2233791,5.0,1,5390,1315.0,80288.0,5.997945248705368,0.5767636884384881,20,1.0,0.2
84,68025,2151058,0.0,0,1122,0.0,17336.0,0.0,0.0,0,5.0,1.4
